id,name,country_id,country_name,is_crypto
ABC,AB-Chain,,,true
ACP,Anarchists Prime,,,true
ACT,ACT,,,true
ACT*,Achain,,,true
ADA,Cardano,,,true
ADCN,Asiadigicoin,,,true
ADL,Adelphoi,,,true
ADX,AdEx,,,true
ADZ,Adzcoin,,,true
AE,Aeternity,,,true
AGI,SingularityNET,,,true
AIB,AdvancedInternetBlock,,,true
AIDOC,AI Doctor,,,true
AION,Aion,,,true
AIR,AirToken,,,true
ALT,ALTcoin,,,true
AMB,Ambrosus,,,true
AMM,MicroMoney,,,true
ANT,Aragon,,,true
APC,AlpaCoin,,,true
APPC,AppCoins,,,true
ARC,ArcticCoin,,,true
ARCT,ArbitrageCT,,,true
ARDR,Ardor,,,true
ARK,ARK,,,true
ARN,Aeron,,,true
ASAFE2,Allsafe,,,true
AST,AirSwap,,,true
ATB,ATB coin,,,true
ATM,ATMChain,,,true
AURS,Aureus,,,true
AVT,AventCoin,,,true
BAR,TBIS token,,,true
BASH,LuckChain,,,true
BAT,Basic Attention Token,,,true
BAY,BitBay,,,true
BBP,BiblePay,,,true
BCD,Bitcoin Diamond,,,true
BCH,Bitcoin Cash / BCC,,,true
BCN,ByteCoin,,,true
BCPT,BlockMason Credit Protocol,,,true
BEE,Bee Token,,,true
BIO,Biocoin,,,true
BLC,BlakeCoin,,,true
BLOCK,BlockNet,,,true
BLU,BlueCoin,,,true
BLZ,Bluzelle,,,true
BMC,Blackmoon Crypto,,,true
BNB,Binance Coin,,,true
BNT,Bancor Network Token,,,true
BOST,BoostCoin,,,true
BQ,Bitqy,,,true
BQX,Ethos,,,true
BRD,Bread token,,,true
BRIT,BritCoin,,,true
BT1,Bitfinex Bitcoin Future,,,true
BT2,Bitcoin SegWit2X,,,true
BTC,Bitcoin,,,true
BTCA,Bitair,,,true
BTCS,Bitcoin Scrypt,,,true
BTCZ,BitcoinZ,,,true
BTG,Bitcoin Gold,,,true
BTLC,BitLuckCoin,,,true
BTM,BitMark,,,true
BTM*,Bytom,,,true
BTQ,BitQuark,,,true
BTS,Bitshares,,,true
BTX,Bitcore,,,true
BURST,BurstCoin,,,true
CALC,CaliphCoin,,,true
CAS,Cashaa,,,true
CAT,BlockCAT,,,true
CCRB,CryptoCarbon,,,true
CDT,CoinDash,,,true
CESC,Crypto Escudo,,,true
CHAT,ChatCoin,,,true
CJ,CryptoJacks,,,true
CL,CoinLancer,,,true
CLD,Cloud,,,true
CLOAK,CloakCoin,,,true
CMT*,CyberMiles,,,true
CND,Cindicator,,,true
CNX,Cryptonex,,,true
CPC,CapriCoin,,,true
CRAVE,CraveCoin,,,true
CRC,CrowdCoin,,,true
CRE,Credits,,,true
CRW,Crown Coin,,,true
CTO,Crypto,,,true
CTR,Centra,,,true
CVC,Civic,,,true
DAS,DAS,,,true
DASH,DigitalCash,,,true
DAT,Datum,,,true
DATA,Streamr DATAcoin,,,true
DBC,DeepBrain Chain,,,true
DBET,Decent.bet,,,true
DCN,Dentacoin,,,true
DCR,Decred,,,true
DCT,Decent,,,true
DEEP,Deep Gold,,,true
DENT,Dent,,,true
DGB,DigiByte,,,true
DGD,Digix DAO,,,true
DIM,DIMCOIN,,,true
DIME,DimeCoin,,,true
DMD,Diamond,,,true
DNT,district0x,,,true
DOGE,Dogecoin,,,true
DRGN,Dragonchain,,,true
